Time,Country Code,AG.LND.FRST.K2,AG.PRD.LVSK.XD,EG.ELC.RNWX.KH,EG.FEC.RNEW.ZS,EG.USE.ELEC.KH.PC,EG.USE.PCAP.KG.OE,EN.ATM.CO2E.PC,NY.GDP.PCAP.KD,NY.GDP.PCAP.KD.ZG,SP.POP.GROW,SP.POP.TOTL,SP.URB.GROW,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
1960,OMN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,536553,NaN,87995,16.4
1960,PAK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,371.062822928343,NaN,NaN,45954226,NaN,10157722,22.104
1960,PAN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2723.05976927247,NaN,NaN,1126989,NaN,464872,41.249
1960,PER,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2704.87974265602,NaN,NaN,10172207,NaN,4761712,46.811
1960,PHL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1100.31089823994,NaN,NaN,28486871,NaN,8630667,30.297
1960,PLW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9446,NaN,5368,56.823
1960,PNG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1318.80286888326,NaN,NaN,1985666,NaN,73966,3.725
1960,POL,NaN,NaN,10000000,NaN,904.56500137495,1827.93681642651,NaN,NaN,NaN,NaN,29637450,NaN,14193968,47.892
1960,PRI,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6307.41708484822,NaN,NaN,2358000,NaN,1050418,44.547
1960,PRK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11655666,NaN,4684995,40.195
1960,PRT,NaN,NaN,45000000,NaN,320.172830106542,336.913601655325,NaN,3934.94473763665,NaN,NaN,8857716,NaN,3096215,34.955
1960,PRY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1499.15229114275,NaN,NaN,1894829,NaN,673972,35.569
1960,PSE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.044
1960,PYF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84851,NaN,35876,42.281
